Carimbo de data/hora; VOCÊ ACEITARIA PARTICIPAR DA NOSSA PESQUISA ?;Idade;POSSUI ALGUMA DEFICIÊNCIA?;Reside em Coari?;Se a resposta for não, especificar cidade:;VOCÊ SE AUTODECLARA ; RENDA FAMILIAR MENSAL (A SOMA DE TODAS AS PESSOAS QUE RECEBEM E MORAM COM VOCÊ);QUANTAS PESSOAS, INCLUINDO VOCÊ, VIVEM DA RENDA MENSAL DE SUA FAMILÍA?;NÍVEL DE ESCOLARIDADE;QUAL A NATUREZA DA INSTITUIÇÃO EM QUE VOCÊ CURSOU O ENSINO FUNDAMENTAL E MÉDIO?;VOCÊ TEM INTERESSE EM CURSAR LICENCIATURA EM PEDAGOGIA? POR QUÊ?;SE A RESPOSTA ANTERIOR FOR SIM, QUAL O TURNO;VOCÊ TERIA INTERESSE EM OUTRO CURSO? QUAL?;COMO VOCÊ AVALIA A IMPLEMENTAÇÃO DO CURSO DE LICENCIATURA EM PEDAGOGIA NO ISB?;AS UNIVERSIDADES PARTICULARES OFERTAM CURSO DE PEDAGOGIA, O QUE TE IMPEDIU DE CURSAR?
3/12/2025 14:24:35;Sim;entre 31 e 40 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;2 pessoas;Superior completo;Todas em instituição pública;Sim para atuar tanto como docente pra séries iniciais como pedagoga ;Vespertino;Bioquimoca;Muito importante;Condições financeiras 
3/12/2025 14:28:27;Sim;entre 31 e 40 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;3 pessoas;Médio completo;Todas em instituição pública;Sim;Noturno;Educação física ;Muito importante;Ter o dinheiro pra paga as mensalidades 
3/12/2025 14:33:35;Sim;mais de 40 anos;Não;Sim;;Branca;Mais de 08 salários-mínimos;1 pessoa;Doutorado;Todas em instituição pública;Não, já sou professor, mas acredito ser um excelente curso para o médio solimões.;;História, Filosofia, Direito;Muito importante;
3/12/2025 14:46:10;Sim;mais de 40 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;5 pessoas;Superior completo;Todas em instituição pública;Sim porque preciso ter mais conhecimentos Pedagógicos ;Noturno;Sim licenciatura em educação Jovens e adulto ;Muito importante;Sim
3/12/2025 14:50:10;Sim;mais de 40 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;5 pessoas;Superior completo;Todas em instituição pública;Sim porque preciso ter mais conhecimentos Pedagógicos ;Noturno;Sim licenciatura em educação Jovens e adultos ;Muito importante;Sim
3/12/2025 15:24:13;Sim;entre 31 e 40 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;4 pessoas;Superior completo;Todas em instituição pública;"Porque já sou Licenciada em matemática e quero conhecer nova área do conhecimento.
";Noturno;Contabilidade ;Muito importante;O custeio
3/12/2025 16:24:51;Sim;mais de 40 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;4 pessoas;Superior completo;Todas em instituição pública;Sim, mas já estou cursando.;Diurno;Mestrado em matemática ;Muito importante;Já estou cursando 
3/12/2025 16:30:33;Sim;mais de 40 anos;Não;Sim;;Indígena;04 a 06 salários-mínimos;5 pessoas;Superior completo;Todas em instituição pública;É meu sonho fazer está faculdade. Pois amo ensinar crianças, mas necessito aprimorar meus conhecimentos.;Diurno;;Muito importante;Tempo
3/12/2025 17:02:11;Sim;mais de 40 anos;Não;Sim;;Parda;02 a 04 salários-mínimos;3 pessoas;Superior completo;Todas em instituição pública;Sim ;Vespertino;Sim ;Importante;Tempo e renda financeira 
3/12/2025 18:36:34;Sim;entre 25 e 30 anos;Não;Sim;Coari ;Parda;Menos de 02 salários-mínimos;1 pessoa;Superior incompleto;Todas em instituição pública;Gosto de compartilhar conhecimento ;Matutino;Nutrição ;Muito importante;Questões financeira 
3/12/2025 18:48:00;Sim;entre 31 e 40 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;3 pessoas;Superior incompleto;Todas em instituição pública;Sim e meu sonho ;Noturno;Física ;Muito importante;Financeiro 
3/15/2025 12:41:07;Sim;entre 31 e 40 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;4 pessoas;Médio completo;Todas em instituição pública;Para ajudar os colegas com metodologia no processo de ensino e aprendizagem ;Diurno;Sim, sociologia ;Muito importante;Dinheiro 
3/15/2025 13:21:39;Sim;entre 31 e 40 anos;Não;Sim;;Indígena;Menos de 02 salários-mínimos;4 pessoas;Médio incompleto;Todas em instituição pública;Sim, porque sempre foi minha vontade atuar como professora;Noturno;Educação física ;Importante;Recurso 
3/15/2025 13:24:33;Sim;entre 31 e 40 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;4 pessoas;Médio completo;Todas em instituição pública;Quero trabalhar na área e porque sempre gostei desse área ;Noturno;;Muito importante;Não tenho renda o suficiente para pagar uma faculdade .
3/15/2025 13:26:50;Sim;entre 31 e 40 anos;Não;Sim;;Parda;06 a 08 salários-mínimos;4 pessoas;Superior completo;Todas em instituição pública;Não ;;Agronomia ;Muito importante;Sim
3/15/2025 13:28:55;Sim;entre 15 e 24 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;2 pessoas;Médio completo;Todas em instituição pública;Sim, e muito importante e acho interessante a area da pedagogia ;Noturno;Fisioterapia e Direito ;Muito importante;A mensalidade e muito alta 
3/15/2025 13:46:16;Sim;entre 25 e 30 anos;Não;Sim;;Indígena;Menos de 02 salários-mínimos;3 pessoas;Médio completo;Todas em instituição pública;Sim, Pra crescer profissionalmente, e almejar uma renda boa.;Noturno;;Muito importante;As minhas condições financeiras.
3/15/2025 14:17:48;Sim;entre 15 e 24 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;3 pessoas;Médio completo;Todas em instituição pública;"Porque e uma área que abrange muita atenção pós trabalha com nossas crianças e adolescentes, com a família e etc. 
Ser educador e ter amor pelo o que vai fazer, não e só ir pra uma sala de aula e brincar de ser professor. 
Não quero ser uma simples professora, eu quero ser A professora, aonde possa mudar vidas e implementar coisas novas nas vidas dos alunos levar pra eles coisas diferentes. Aonde eles possam ser aquele que pode mudar não só a própria vida mas também a vida da sua própria família. ";Noturno;Psicologia;Muito importante;Falta de emprego na cidade, pós as mensalidades são valores altos.
3/15/2025 14:24:37;Sim;entre 31 e 40 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;5 pessoas;Fundamental completo;Todas em instituição pública;Porque é uma área que tem mais oportunidades de trabalho. ;Noturno;Não ;Muito importante;Muito caro
3/15/2025 14:26:36;Sim;entre 31 e 40 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;5 pessoas;Fundamental completo;Todas em instituição pública;Porque tem mais oportunidades de trabalho. ;Noturno;;Muito importante;Muito caro 
3/16/2025 7:45:35;Sim;entre 25 e 30 anos;Não;Sim;;Parda;02 a 04 salários-mínimos;3 pessoas;Superior completo;Todas em instituição pública;"Já concluí essa graduação. Respondo porque, embora não tenha tido a oportunidade de me formar em uma universidade pública, desejo que outros possam tê-la.

";Noturno;Não;Muito importante;
3/16/2025 20:40:42;Sim;entre 31 e 40 anos;Não;Sim;;Parda;02 a 04 salários-mínimos;Mais de 5 pessoas;Superior completo;Todas em instituição pública;Não, na verdade gostaria do Curso Educação Física ou Administração ;;Educação Física e Administração ;Importante; Não é o curso de meu interesse 
3/16/2025 20:50:24;Sim;entre 31 e 40 anos;Não;Sim;;Preta;Mais de 08 salários-mínimos;4 pessoas;Mestrado;Todas em instituição privada;Aprender mais;Noturno;Ciencia da Computação ;Muito importante;
3/16/2025 20:52:35;Sim;entre 31 e 40 anos;Não;Sim;;Parda;06 a 08 salários-mínimos;1 pessoa;Superior completo;Todas em instituição pública;Não ;;;Muito importante;
3/16/2025 21:01:05;Sim;entre 25 e 30 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;3 pessoas;Superior incompleto;Todas em instituição pública;Por gostar muito da area;Noturno;Farmácia ;Muito importante;Dinheiro 
3/16/2025 21:16:11;Sim;mais de 40 anos;Não;Sim;Coari Am;Parda;Menos de 02 salários-mínimos;5 pessoas;Médio completo;Todas em instituição pública;Sim;Noturno;Administração ;Importante;Oportunidade 
3/16/2025 21:52:52;Sim;mais de 40 anos;Não;Sim;Coari;Parda;Menos de 02 salários-mínimos;4 pessoas;Superior completo;Todas em instituição pública;Sim , para ter uma formação na área ;Noturno;Sim educação física ;Sem necessidade;De grande valia
3/16/2025 22:05:44;Sim;mais de 40 anos;Não;Sim;;Parda;04 a 06 salários-mínimos;1 pessoa;Doutorado;Todas em instituição pública;Campo amplo de atuação no mercado ;Noturno;Psicologia ;Muito importante;Tempo
3/16/2025 22:17:25;Sim;entre 31 e 40 anos;Não;Sim;;Branca;02 a 04 salários-mínimos;3 pessoas;Superior completo;Todas em instituição pública;Sim, uma nova profissão ;Noturno;;Muito importante;
3/16/2025 23:04:30;Sim;entre 25 e 30 anos;Não;Sim;;Indígena;Menos de 02 salários-mínimos;3 pessoas;Superior incompleto;Todas em instituição pública;Sim , porque eu tenho vontade de cursar em universidade federal e aprender muito mais , pra ajudar as pessoas. ;Vespertino;Enfermagem ;Muito importante;Sim, no momento o financeiro. 
3/17/2025 20:53:10;Sim;entre 25 e 30 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;1 pessoa;Médio completo;Todas em instituição pública;É importante na nossiedade;Noturno;Fisioterapia ;Importante;Não tenho muita condições 
3/18/2025 10:37:53;Sim;entre 25 e 30 anos;Não;Sim;;Indígena;Menos de 02 salários-mínimos;2 pessoas;Superior incompleto;Todas em instituição pública;Sim;Diurno;Psicologia;Muito importante;Financeiro 
3/18/2025 11:24:06;Sim;entre 31 e 40 anos;Não;Sim;;Indígena;Menos de 02 salários-mínimos;5 pessoas;Superior incompleto;Todas em instituição pública;Sim,;Matutino;;Muito importante;Não tenho condições de pagar as mensalidades. 
3/19/2025 11:04:03;Sim;entre 25 e 30 anos;Não;Sim;;Parda;02 a 04 salários-mínimos;2 pessoas;Médio completo;Todas em instituição pública;Não, pois já estou cursando em Faculdade particular, mas adoraria ter no ISB;;Piscologia;Muito importante;
3/21/2025 19:11:36;Sim;entre 25 e 30 anos;Não;Sim;;Parda;02 a 04 salários-mínimos;2 pessoas;Superior completo;Todas em instituição pública;Sempre foi o meu sonho em fazer!;Matutino;Bacharelado em Biologia;Muito importante;Prefiro ensino presencial, e que seja pela universidade federal.
3/25/2025 9:48:28;Sim;entre 15 e 24 anos;Não;Sim;;Indígena;Menos de 02 salários-mínimos;Mais de 5 pessoas;Médio completo;Todas em instituição pública;Porque eu gosto ;Matutino;História ;Muito importante;Cara
3/25/2025 9:49:19;Sim;entre 15 e 24 anos;Não;Sim;;Indígena;Menos de 02 salários-mínimos;5 pessoas;Médio completo;Todas em instituição pública;Não. Sou estudante de Nutrição.;;;Muito importante;
3/25/2025 11:06:34;Sim;entre 15 e 24 anos;Não;Sim;;Indígena;Menos de 02 salários-mínimos;3 pessoas;Médio incompleto;Todas em instituição pública;Pq eu gosto ;Diurno;;Muito importante;Falta de dinheiro 
3/25/2025 19:38:45;Sim;entre 15 e 24 anos;Não;Sim;;Branca;02 a 04 salários-mínimos;5 pessoas;Médio completo;Todas em instituição pública;Não sinto vontade pela dificuldade em lidar com a diversidade de mentes encontrados em sala de aula além da dificuldade em criar estratégias flexíveis para engajar todos os alunos no processo de aprendizagem;Diurno;Tenho curiosidade pela Biomedicina ;Muito importante;A falta de estabilidade financeira 
3/27/2025 11:40:30;Sim;entre 15 e 24 anos;Não;Sim;;Parda;04 a 06 salários-mínimos;5 pessoas;Médio completo;Todas em instituição pública;Sim,porque  sempre quis fazer pedagogia.;Matutino;Enfermagem ;Muito importante;
4/15/2025 15:00:54;Sim;entre 15 e 24 anos;Não;Sim;;Branca;Menos de 02 salários-mínimos;5 pessoas;Médio completo;Todas em instituição pública;Sim, porque acredito que a educação é fundamental para o desenvolvimento das pessoas e da sociedade.;Noturno;Odontologia ;Muito importante;O custo do curso de pedagogia em universidades particulares é alto e não está dentro do meu orçamento.
