Carimbo de data/hora; VOCÊ ACEITARIA PARTICIPAR DA NOSSA PESQUISA ?;Idade;POSSUI ALGUMA DEFICIÊNCIA?;Reside em Coari?;Se a resposta for não, especificar cidade:;VOCÊ SE AUTODECLARA ; RENDA FAMILIAR MENSAL (A SOMA DE TODAS AS PESSOAS QUE RECEBEM E MORAM COM VOCÊ);QUANTAS PESSOAS, INCLUINDO VOCÊ, VIVEM DA RENDA MENSAL DE SUA FAMILÍA?;NÍVEL DE ESCOLARIDADE;QUAL A NATUREZA DA INSTITUIÇÃO EM QUE VOCÊ CURSOU O ENSINO FUNDAMENTAL E MÉDIO?;VOCÊ TEM INTERESSE EM CURSAR LICENCIATURA EM PEDAGOGIA? POR QUÊ?;SE A RESPOSTA ANTERIOR FOR SIM, QUAL O TURNO;VOCÊ TERIA INTERESSE EM OUTRO CURSO? QUAL?;COMO VOCÊ AVALIA A IMPLEMENTAÇÃO DO CURSO DE LICENCIATURA EM PEDAGOGIA NO ISB?;AS UNIVERSIDADES PARTICULARES OFERTAM CURSO DE PEDAGOGIA, O QUE TE IMPEDIU DE CURSAR?
3/6/2025 20:02:51;Sim;entre 31 e 40 anos;Não;Não;Coari;Parda;Menos de 02 salários-mínimos;4 pessoas;Superior completo;Parte em instituição pública e parte privada;Sim. Pra adquirir conhecimento e uma nova graduação. ;Vespertino;Língua portuguesa ;Muito importante;Devido não ter estabilidade financeira 
3/6/2025 20:42:07;Sim;entre 31 e 40 anos;Não;Sim;;Parda;02 a 04 salários-mínimos;5 pessoas;Médio completo;Todas em instituição pública;sim, para me profissionalizar;Noturno;não;Muito importante;falta de dinheiro 
3/7/2025 8:27:53;Sim;mais de 40 anos;Não;Sim;;Parda;02 a 04 salários-mínimos;5 pessoas;Médio completo;Todas em instituição pública;Trabalho em escola pública ;Vespertino;Secretariado;Importante;A minha filha cursa faculdade, tiver que obtar dando oportunidade pra ela.
3/7/2025 9:46:55;Sim;entre 25 e 30 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;4 pessoas;Superior incompleto;Todas em instituição pública;Sim. Ministrar de forma pratica e didática o conhecimento para com alunos com transtornos mentais e que o ensino é igualmente justo e importante para o igual.;Diurno;Nao;Muito importante;Nao me interessava tanto 
3/7/2025 9:52:28;Sim;entre 15 e 24 anos;Não;Sim;;Preta;Menos de 02 salários-mínimos;4 pessoas;Médio completo;Todas em instituição pública;Sim.Sendo bem pragmática a pedagogia é necessária para o desenvolvimento da nossa comunidade. ;Noturno;Nao;Muito importante;Nao tinha interesse 
3/7/2025 11:18:13;Sim;entre 15 e 24 anos;Não;Sim;;Indígena;Menos de 02 salários-mínimos;1 pessoa;Médio completo;Todas em instituição pública;Por que, quero ser professora. ;Vespertino;Não ;Muito importante;Questão financeira. 
3/7/2025 13:25:00;Sim;entre 31 e 40 anos;Não;Sim;;Branca;Menos de 02 salários-mínimos;3 pessoas;Superior completo;Todas em instituição pública;Porque já sou formada na área da educação e gostaria de ter essa opção, visando o fortalecimento na area da educação.;Noturno;Farmácia. ;Importante;Financeiro
3/7/2025 14:52:20;Sim;mais de 40 anos;Não;Sim;;Parda;Mais de 08 salários-mínimos;Mais de 5 pessoas;Superior completo;Todas em instituição pública;Devido ao mercado de trabalho e a ajuda que poderia dar ao meu filho que tem tdah;Noturno;não;Muito importante;pagamento, alto custo
3/7/2025 16:41:01;Sim;mais de 40 anos;Não;Sim;;Parda;Mais de 08 salários-mínimos;3 pessoas;Doutorado;Todas em instituição pública;Não, pelo fato de já ter concluído minha formação acadêmica e já está trabalhando.;;Não;Importante;
3/7/2025 19:09:09;Sim;mais de 40 anos;Não;Sim;;Parda;06 a 08 salários-mínimos;5 pessoas;Superior completo;Todas em instituição pública;Não ;;Sim;Muito importante;Cursei Pedagogia na UFAM..EXCELENTE 
3/7/2025 21:39:01;Sim;mais de 40 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;2 pessoas;Superior completo;Todas em instituição pública;Sim;Matutino;;Muito importante;
3/7/2025 21:39:49;Sim;entre 31 e 40 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;3 pessoas;Mestrado;Todas em instituição pública;Não, já tenho curso de pedagogia;;Não;Muito importante;Fiz pedagogia em universidade particular
3/7/2025 21:42:05;Sim;mais de 40 anos;Não;Sim;;Parda;Mais de 08 salários-mínimos;Mais de 5 pessoas;Superior completo;Todas em instituição pública;Sim. Para adquirir conhecimentos e enriquecer o currículo;Noturno;Letras - Português/Inglês;Importante;Valor
3/7/2025 21:45:17;Sim;entre 31 e 40 anos;Não;Sim;;Parda;04 a 06 salários-mínimos;1 pessoa;Mestrado;Todas em instituição pública;Para ampliar o meu conhecimento ba área da educação. ;Noturno;;Muito importante;
3/7/2025 21:47:27;Sim;entre 31 e 40 anos;Não;Sim;;Preta;02 a 04 salários-mínimos;2 pessoas;Superior completo;Todas em instituição pública;Está atualizada em novos conhecimentos. ;Noturno;Educação Especial ;Muito importante;Finaceiro
3/7/2025 21:47:41;Sim;mais de 40 anos;Não;Sim;;Branca;02 a 04 salários-mínimos;3 pessoas;Superior completo;Todas em instituição pública;Estou precisando ;Noturno;Português ;Muito importante;Econômica 
3/7/2025 21:49:28;Sim;mais de 40 anos;Não;Sim;;Parda;02 a 04 salários-mínimos;2 pessoas;Superior completo;Todas em instituição pública;Para adquirir mais conhecimento didático em prol a educação.;Noturno;Lingua portuguesa;Muito importante;
3/7/2025 21:54:30;Sim;entre 31 e 40 anos;Não;Sim;;Parda;04 a 06 salários-mínimos;3 pessoas;Superior completo;Todas em instituição pública;Sim ;Noturno;Educação Especial ;Muito importante;Financeiro 
3/7/2025 22:02:24;Sim;entre 31 e 40 anos;Não;Sim;;Parda;02 a 04 salários-mínimos;3 pessoas;Superior completo;Todas em instituição pública;"Sim. 
Pois é um curso de importância para a área da educação. ";Matutino;Filosofia ;Muito importante;O valor
3/7/2025 22:02:48;Sim;entre 31 e 40 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;5 pessoas;Superior completo;Todas em instituição pública;Não.;;;Importante;Muitos motivos.
3/7/2025 22:35:19;Sim;entre 25 e 30 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;1 pessoa;Médio completo;Todas em instituição pública;Porque é um curso que me desperta interesse, e também para ampliar meus conhecimentos sobre a área educação, principalmente no que diz respeito à lecionar, as metodologias assertivas para se trabalhar da melhor forma na sala de aula.;Noturno;Psicologia ou Psicopedagogia;Muito importante;Principalmente a forma de ensino, na maioria das vezes, a forma de ensino e o suporte não é boa, isso acaba impactando na formação do aluno, infelizmente hoje em dia, as universidades privadas (não todas) não entregam todo suporte que costumam pregam em suas plataformas de divulgação. 
3/7/2025 22:41:16;Sim;mais de 40 anos;Não;Sim;;Parda;02 a 04 salários-mínimos;4 pessoas;Superior completo;Parte em instituição pública e parte privada;Não, porque já sou formada em Pedagogia.;;Sim, Direito.;Importante;Já sou formada em Pedagogia pela UFAM ano 2007
3/7/2025 22:56:41;Sim;mais de 40 anos;Não;Sim;;Parda;02 a 04 salários-mínimos;5 pessoas;Mestrado;Todas em instituição pública;Sim, na oportunidade abrir várias oportunidades de crescimento no âmbito educacional.;Noturno;Sim, psicologia ;Muito importante;Sim, projeto financeiro 
3/7/2025 23:00:02;Sim;mais de 40 anos;Não;Sim;;Indígena;Menos de 02 salários-mínimos;4 pessoas;Médio completo;Todas em instituição pública;Mim indentifico;Noturno;Letras;Importante;Financeiro 
3/7/2025 23:02:50;Sim;mais de 40 anos;Não;Sim;Coari ;Parda;Menos de 02 salários-mínimos;4 pessoas;Superior completo;Todas em instituição pública;Sim, para está licenciada de acordo com os requisitos da minha profissão e adquirir mas conhecimento.;Vespertino;Sim, psicologia ;Muito importante;Financeiro.
3/7/2025 23:29:21;Sim;mais de 40 anos;Não;Sim;;Preta;02 a 04 salários-mínimos;4 pessoas;Mestrado;Parte em instituição pública e parte privada;Não, já estou bem satisfeita com a minha vida acadêmica.;;Nao ;Muito importante;Por questoes financeira 
3/7/2025 23:33:07;Sim;entre 31 e 40 anos;Não;Sim;;Parda;02 a 04 salários-mínimos;1 pessoa;Superior completo;Todas em instituição pública;Sim, por que e uma área muito produtivo e que abre um leque de oportunidades ;Noturno;Mestrado em ciências na educação ;Importante;Não 
3/7/2025 23:51:26;Sim;mais de 40 anos;Sim;Sim;;Indígena;Menos de 02 salários-mínimos;Mais de 5 pessoas;Superior completo;Todas em instituição pública;Sim, busca de melhor qualidade pra educação ;Diurno;Pos em educação infantil ;Muito importante;Falta de condições financeiras 
3/8/2025 0:11:28;Sim;entre 31 e 40 anos;Não;Sim;;Branca;02 a 04 salários-mínimos;4 pessoas;Superior incompleto;Todas em instituição pública;Sim, a sociedade precisa dessa graduação pela ufam ;Vespertino;Agropecuária ;Muito importante;Financeiro 
3/8/2025 3:47:21;Sim;mais de 40 anos;Não;Sim;;Parda;02 a 04 salários-mínimos;4 pessoas;Superior completo;Todas em instituição pública;Já tenho o curso em pedagoga ;;Ciência ;Muito importante;
3/8/2025 6:23:36;Sim;mais de 40 anos;Não;Sim;;Parda;02 a 04 salários-mínimos;3 pessoas;Superior completo;Todas em instituição pública;Sim ;Vespertino;;Importante;Sim
3/8/2025 6:28:28;Sim;mais de 40 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;4 pessoas;Superior completo;Todas em instituição pública;Sim ;Noturno;Psicopedagogia;Muito importante;O pagamento das mensalidade
3/8/2025 7:19:32;Sim;entre 31 e 40 anos;Sim;Sim;;Parda;Menos de 02 salários-mínimos;3 pessoas;Superior completo;Todas em instituição pública;Não ;;Sim;Importante;Recursos 
